PLAYER,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
"
W Merrifield
",KC,162,664,97,184,42,3,10,74,40,103,40,4,0.277,0.317,0.395,0.712,3.6
"
M Semien
",TOR,162,652,115,173,39,2,45,102,66,146,15,1,0.265,0.334,0.538,0.872,7.3
"
B Bichette
",TOR,159,640,121,191,30,1,29,102,40,137,25,1,0.298,0.343,0.484,0.827,5.9
"
I Kiner-Falefa
",TEX,158,635,74,172,25,3,8,53,28,90,20,5,0.271,0.312,0.357,0.669,3.7
"
D Fletcher
",LAA,157,626,74,164,27,3,2,47,31,60,15,3,0.262,0.297,0.324,0.621,1.8
"
J Schoop
",DET,156,623,85,173,30,1,22,84,37,133,2,0,0.278,0.32,0.435,0.755,-0.2
"
M Haniger
",SEA,157,620,110,157,23,2,39,100,54,169,1,0,0.253,0.318,0.485,0.803,3.1
"
S Perez
",KC,161,620,88,169,24,0,48,121,28,170,1,0,0.273,0.316,0.544,0.86,5.3
"
J Crawford
",SEA,160,619,89,169,37,0,9,54,58,114,3,6,0.273,0.338,0.376,0.714,3.8
"
V Guerrero Jr.
",TOR,161,604,123,188,29,1,48,111,86,110,4,1,0.311,0.401,0.601,1.002,6.8
"
K Seager
",SEA,159,603,73,128,29,1,35,101,59,161,3,1,0.212,0.285,0.438,0.723,2
"
C Mullins
",BAL,159,602,91,175,37,5,30,59,59,125,30,8,0.291,0.36,0.518,0.878,5.7
"
J Altuve
",HOU,146,601,117,167,32,1,31,83,66,91,5,3,0.278,0.35,0.489,0.839,4.4
"
D LeMahieu
",NYY,150,597,84,160,24,1,10,57,73,94,4,2,0.268,0.349,0.362,0.711,1.5
"
R Devers
",BOS,156,591,101,165,37,1,38,113,62,143,5,5,0.279,0.352,0.538,0.89,3.5
"
Polanco
",MIN,152,588,97,158,35,2,33,98,45,118,11,6,0.269,0.323,0.503,0.826,4.9
"
A García
",TEX,149,581,77,141,26,2,31,90,32,194,16,5,0.243,0.286,0.454,0.74,3.8
"
T France
",SEA,152,571,85,166,32,1,18,73,46,106,0,0,0.291,0.368,0.445,0.813,4.3
"
C Hernández
",CWS,149,570,84,132,21,2,21,62,59,135,1,1,0.232,0.308,0.386,0.694,-1.6
"
J Martinez
",BOS,148,570,92,163,42,3,28,99,55,150,0,0,0.286,0.349,0.518,0.867,3
"
J Abreu
",CWS,152,566,86,148,30,2,30,117,61,143,1,0,0.261,0.351,0.481,0.832,3
"
M Olson
",OAK,156,565,101,153,35,0,39,111,88,113,4,1,0.271,0.371,0.54,0.911,5.8
"
C Santana
",KC,158,565,66,121,15,0,19,69,86,102,2,0,0.214,0.319,0.342,0.661,-0.2
