PLAYER,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
"
M Straw
",CLE,158,564,86,153,29,1,4,48,67,121,30,6,0.271,0.349,0.348,0.697,3.2
"
J Candelario
",DET,149,557,75,151,42,3,16,67,65,135,0,0,0.271,0.351,0.443,0.794,3.8
"
R Grossman
",DET,156,557,88,133,23,3,23,67,98,155,20,5,0.239,0.357,0.415,0.772,2.9
"
N Lowe
",TEX,157,557,75,147,24,3,18,72,80,162,8,0,0.264,0.357,0.415,0.772,2.4
"
T Mancini
",BAL,147,556,77,142,33,1,21,71,51,143,0,0,0.255,0.326,0.432,0.758,0.8
"
C Correa
",HOU,148,555,104,155,34,1,26,92,75,116,0,0,0.279,0.366,0.485,0.851,7.2
"
J Ramírez
",CLE,152,552,111,147,32,5,36,103,72,87,27,4,0.266,0.355,0.538,0.893,6.7
"
T Hernández
",TOR,143,550,92,163,29,0,32,116,36,148,12,4,0.296,0.346,0.524,0.87,3.9
"
A Judge
",NYY,148,550,89,158,24,0,39,98,75,158,6,1,0.287,0.373,0.544,0.917,6
"
A Rosario
",CLE,141,550,77,155,25,6,11,57,31,120,13,0,0.282,0.321,0.409,0.73,1.9
"
A Verdugo
",BOS,146,544,88,157,32,2,13,63,51,96,6,2,0.289,0.351,0.426,0.777,2.2
"
Y Alvarez
",HOU,144,537,92,149,35,1,33,104,50,145,1,0,0.277,0.346,0.531,0.877,3
"
S Ohtani
",LAA,158,537,103,138,26,8,46,100,96,189,26,10,0.257,0.372,0.592,0.964,9
"
B Lowe
",TB,149,535,97,132,31,0,39,99,68,167,7,1,0.247,0.34,0.523,0.863,4.7
"
R Mountcastle
",BAL,144,534,77,136,23,1,33,89,41,161,4,3,0.255,0.309,0.487,0.796,0.9
"
Y Gurriel
",HOU,143,530,83,169,31,0,15,81,59,68,1,1,0.319,0.383,0.462,0.845,3.7
"
J Walsh
",LAA,144,530,70,147,34,1,29,98,48,152,2,1,0.277,0.34,0.509,0.849,2.8
"
R Arozarena
",TB,141,529,94,145,32,3,20,69,56,170,20,10,0.274,0.356,0.459,0.815,4.1
"
X Bogaerts
",BOS,144,529,90,156,34,1,23,79,62,113,5,1,0.295,0.37,0.493,0.863,4.9
"
M Chapman
",OAK,151,529,75,111,15,3,27,72,80,202,3,2,0.21,0.314,0.403,0.717,3.5
"
T Anderson
",CWS,123,527,94,163,29,2,17,61,22,119,18,7,0.309,0.338,0.469,0.807,4.8
"
H Renfroe
",BOS,144,521,89,135,33,0,31,96,44,130,1,2,0.259,0.315,0.501,0.816,2.3
"
Y Moncada
",CWS,144,520,74,137,33,1,14,61,84,157,3,2,0.263,0.375,0.412,0.787,4
"
M Canha
",OAK,141,519,93,120,22,4,17,61,77,128,12,2,0.231,0.358,0.387,0.745,2.5
"
A Meadows
",TB,142,518,79,121,29,3,27,106,59,122,4,3,0.234,0.315,0.458,0.773,2
"
N Cruz
",TB,140,513,79,136,21,1,32,86,51,126,3,0,0.265,0.334,0.497,0.831,2.6
"
R Grichuk
",TOR,149,511,59,123,25,1,22,81,27,114,0,3,0.241,0.281,0.423,0.704,0.8
"
G Stanton
",NYY,139,510,64,139,19,0,35,97,63,157,0,0,0.273,0.354,0.516,0.87,3.1
"
K Hernández
",BOS,134,508,84,127,35,3,20,60,61,110,1,0,0.25,0.337,0.449,0.786,4.9
"
K Tucker
",HOU,140,506,83,149,37,3,30,92,53,90,14,2,0.294,0.359,0.557,0.916,5.7
"
L Gurriel Jr.
",TOR,141,500,62,138,28,2,21,84,32,102,1,3,0.276,0.319,0.466,0.785,2.8
"
J Gallo
",NYY,153,498,90,99,13,1,38,77,111,213,6,0,0.199,0.351,0.458,0.809,4.7
"
E Andrus
",OAK,146,497,60,121,25,2,3,37,31,81,12,2,0.243,0.294,0.32,0.614,0.6
"
N Lopez
",KC,151,497,78,149,21,6,2,43,49,74,22,1,0.3,0.365,0.378,0.743,4.3
"
A Benintendi
",KC,134,493,63,136,27,2,17,73,36,97,8,9,0.276,0.324,0.442,0.766,2.4
"
A Hays
",BAL,131,488,73,125,26,4,22,71,28,107,4,3,0.256,0.308,0.461,0.769,3.1
"
H Dozier
",KC,144,487,55,105,27,6,16,54,43,154,5,4,0.216,0.285,0.394,0.679,-2.5
"
J Iglesias
",BOS,137,483,65,131,27,2,9,48,21,75,5,2,0.271,0.309,0.391,0.7,0.4
"
M Taylor
",KC,142,483,58,118,16,1,12,54,33,144,14,7,0.244,0.297,0.356,0.653,2.5
"
M Cabrera
",DET,130,472,48,121,16,0,15,75,40,118,0,0,0.256,0.316,0.386,0.702,-0.5
"
M Sanó
",MIN,135,470,68,105,24,0,30,75,59,183,2,1,0.223,0.312,0.466,0.778,1
"
M Brantley
",HOU,121,469,68,146,29,3,8,47,33,53,1,0,0.311,0.362,0.437,0.799,2.5
"Y Díaz
",TB,134,465,62,119,20,1,13,64,69,85,1,1,0.256,0.353,0.387,0.74,1.6
"
G Torres
",NYY,127,459,50,119,22,0,9,51,50,104,14,6,0.259,0.331,0.366,0.697,0.8
"
N Solak
",TEX,127,458,57,111,18,2,11,49,34,107,7,5,0.242,0.314,0.362,0.676,1
"
J Donaldson
",MIN,135,457,73,113,26,0,26,72,74,114,0,0,0.247,0.352,0.475,0.827,3.2
"
J Lowrie
",OAK,139,457,55,112,28,0,14,69,49,108,0,0,0.245,0.318,0.398,0.716,0.1
