PLAYER,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
"
MarcusSemien
",TEX,161,657,101,163,31,5,26,83,53,120,25,8,0.248,0.304,0.429,0.733,5.7
"
BoBichette
",TOR,159,652,91,189,43,1,24,93,41,155,13,8,0.29,0.333,0.469,0.802,3.6
"
VladimirGuerrero
",TOR,160,638,90,175,35,0,32,97,58,116,8,3,0.274,0.339,0.48,0.819,4
"
AmedRosario
",CLE,153,637,86,180,26,9,11,71,25,111,18,4,0.283,0.312,0.403,0.715,4.1
"
CedricMullins
",BAL,156,608,89,157,32,4,16,64,47,126,34,10,0.258,0.318,0.403,0.721,3.8
"
AdolisGarcia
",TEX,156,605,88,151,34,5,27,101,40,183,25,6,0.25,0.3,0.456,0.756,3.6
"JoseAbreu
",CWS,157,601,85,183,40,0,15,75,62,110,0,0,0.304,0.378,0.446,0.824,4.2
"
JoseRamirez
",CLE,157,601,90,168,44,5,29,126,69,82,20,7,0.28,0.355,0.514,0.869,6
"
NathanielLowe
",TEX,157,593,74,179,26,3,27,76,48,147,2,2,0.302,0.358,0.492,0.85,3.3
"CoreySeager
",TEX,151,593,91,145,24,1,33,83,58,103,3,0,0.245,0.317,0.455,0.772,4.1
"AlexVerdugo
",BOS,152,593,75,166,39,1,11,74,42,86,1,3,0.28,0.328,0.405,0.733,1.2
"
BobbyWitt
",KC,150,591,82,150,31,6,20,80,30,135,30,7,0.254,0.294,0.428,0.722,0.9
"RandyArozarena
",TB,153,586,72,154,41,3,20,89,46,156,32,12,0.263,0.327,0.445,0.772,2.8
"ShoheiOhtani
",LAA,157,586,90,160,30,6,34,95,72,161,11,9,0.273,0.356,0.519,0.875,9.6
"
AnthonySantander
",BAL,152,574,78,138,24,0,33,89,55,122,0,2,0.24,0.318,0.455,0.773,2.1
"
AaronJudge
",NYY,157,570,133,177,28,0,62,131,111,175,16,3,0.311,0.425,0.686,1.111,10.6
"
StevenKwan
",CLE,147,563,89,168,25,7,6,52,62,60,19,5,0.298,0.373,0.4,0.773,5.5
"
XanderBogaerts
",BOS,150,557,84,171,38,0,15,73,57,118,8,2,0.307,0.377,0.456,0.833,5.7
